Dates,Food and non-alcoholic beverages,Alcohol and tobacco,Housing and household services,Transport,Other
1989-01-01,0.6,0.21,2.59,0.62,1.68
1989-02-01,0.56,0.22,2.66,0.68,1.71
1989-03-01,0.59,0.22,2.75,0.69,1.69
1989-04-01,0.67,0.16,2.37,0.77,1.67
1989-05-01,0.72,0.15,2.51,0.85,1.65
1989-06-01,0.74,0.16,2.47,0.79,1.64
1989-07-01,0.78,0.16,2.43,0.71,1.64
1989-08-01,0.77,0.16,2.32,0.58,1.63
1989-09-01,0.81,0.18,2.46,0.59,1.69
1989-10-01,0.94,0.2,2.35,0.59,1.74
1989-11-01,0.97,0.19,2.16,0.55,1.77
1989-12-01,1,0.19,2.31,0.48,1.79
1990-01-01,1.09,0.17,2.35,0.48,1.81
1990-02-01,1.18,0.17,2.55,0.54,1.84
1990-03-01,1.19,0.18,2.35,0.52,1.92
1990-04-01,1.16,0.34,3.57,0.59,2.08
1990-05-01,1.25,0.45,3.77,0.55,2.16
1990-06-01,1.19,0.46,3.79,0.58,2.18
1990-07-01,1.1,0.5,3.9,0.64,2.07
1990-08-01,1.21,0.48,3.96,1.03,2.23
1990-09-01,1.14,0.46,3.89,1.28,2.39
1990-10-01,1,0.46,4.03,1.34,2.42
1990-11-01,0.97,0.46,4.15,1.16,2.44
1990-12-01,0.94,0.48,4.26,1,2.47
1991-01-01,0.85,0.49,4.18,0.89,2.2
1991-02-01,0.89,0.5,3.84,0.81,2.18
1991-03-01,0.82,0.5,3.98,0.84,2.16
1991-04-01,0.85,0.81,2.49,1.02,2.78
1991-05-01,0.65,0.75,2.23,1.14,2.75
1991-06-01,0.79,0.74,2.3,1.15,2.75
1991-07-01,0.77,0.7,2.17,1.22,2.69
1991-08-01,0.76,0.7,2.39,0.97,2.73
1991-09-01,0.6,0.69,2.28,0.72,2.58
1991-10-01,0.6,0.64,2.04,0.71,2.48
1991-11-01,0.64,0.68,1.84,0.93,2.38
1991-12-01,0.59,0.68,1.77,1.11,2.35
1992-01-01,0.62,0.69,1.63,1.08,2.23
1992-02-01,0.54,0.68,1.78,1.16,2.18
1992-03-01,0.57,0.67,1.56,1.2,2.22
1992-04-01,0.33,0.43,2.17,0.88,1.42
