Dates,Food and non-alcoholic beverages,Alcohol and tobacco,Housing and household services,Transport,Other
1992-05-01,0.41,0.41,2.23,0.77,1.26
1992-06-01,0.22,0.4,2.07,0.74,1.2
1992-07-01,0.22,0.41,2.15,0.62,1.12
1992-08-01,0.12,0.41,1.77,0.54,0.86
1992-09-01,0.17,0.41,1.7,0.44,0.95
1992-10-01,0.2,0.41,1.59,0.37,0.89
1992-11-01,0.05,0.39,1.66,0.34,0.84
1992-12-01,0.12,0.4,1.56,0.33,0.79
1993-01-01,0.04,0.38,1.6,0.23,0.76
1993-02-01,0.1,0.38,1.61,0.25,0.79
1993-03-01,0.16,0.39,1.66,0.24,0.79
1993-04-01,0.16,0.28,1.04,0.31,0.82
1993-05-01,0.24,0.28,0.63,0.3,0.81
1993-06-01,0.22,0.27,0.66,0.39,0.65
1993-07-01,0.38,0.26,0.54,0.4,0.68
1993-08-01,0.35,0.29,0.63,0.44,0.86
1993-09-01,0.35,0.32,0.64,0.54,0.81
1993-10-01,0.2,0.31,0.71,0.45,0.71
1993-11-01,0.14,0.26,0.63,0.28,0.78
1993-12-01,0.06,0.28,0.73,0.42,0.77
1994-01-01,0.09,0.36,0.86,0.65,0.62
1994-02-01,0.03,0.36,0.76,0.62,0.64
1994-03-01,0.01,0.32,0.73,0.57,0.55
1994-04-01,0.1,0.23,1.34,0.41,0.31
1994-05-01,0.07,0.21,1.36,0.39,0.32
1994-06-01,0.14,0.21,1.3,0.25,0.44
1994-07-01,0.07,0.21,1.29,0.22,0.27
1994-08-01,0.11,0.18,1.25,0.26,0.36
1994-09-01,0.03,0.16,1.29,0.2,0.27
1994-10-01,0.11,0.14,1.14,0.19,0.21
1994-11-01,0.24,0.15,1.23,0.32,0.2
1994-12-01,0.3,0.13,1.19,0.33,0.29
1995-01-01,0.35,0.16,1.07,0.32,0.46
1995-02-01,0.35,0.21,1.03,0.29,0.41
1995-03-01,0.36,0.23,1.03,0.32,0.5
1995-04-01,0.31,0.24,0.87,0.35,0.53
1995-05-01,0.4,0.26,1.01,0.31,0.58
1995-06-01,0.36,0.27,1.05,0.39,0.61
1995-07-01,0.35,0.28,1.09,0.42,0.72
1995-08-01,0.5,0.26,1.03,0.31,0.61
1995-09-01,0.65,0.26,1.09,0.3,0.7
1995-10-01,0.53,0.29,1.19,0.28,0.73
1995-11-01,0.5,0.28,1.16,0.23,0.73
1995-12-01,0.52,0.28,1.22,0.33,0.75
1996-01-01,0.48,0.26,1.3,0.39,0.47
1996-02-01,0.55,0.25,1.39,0.33,0.52
1996-03-01,0.56,0.24,1.38,0.26,0.52
1996-04-01,0.56,0.26,1.21,0.29,0.52
1996-05-01,0.46,0.24,1.33,0.32,0.46
1996-06-01,0.49,0.25,1.32,0.23,0.48
1996-07-01,0.4,0.26,1.37,0.23,0.39
1996-08-01,0.36,0.26,1.37,0.38,0.36
1996-09-01,0.2,0.26,1.32,0.56,0.4
1996-10-01,0.23,0.25,1.38,0.7,0.4
1996-11-01,0.16,0.26,1.42,0.76,0.48
1996-12-01,0.07,0.26,1.32,0.66,0.47
1997-01-01,0.08,0.23,1.27,0.63,0.42
1997-02-01,-0.07,0.22,1.17,0.68,0.34
1997-03-01,-0.23,0.2,1.18,0.66,0.4
1997-04-01,-0.19,0.21,1.13,0.53,0.42
1997-05-01,-0.19,0.22,1.07,0.5,0.45
1997-06-01,-0.06,0.19,1.05,0.56,0.4
1997-07-01,0.04,0.19,0.98,0.72,0.43
1997-08-01,-0.08,0.24,0.96,0.7,0.49
1997-09-01,0.03,0.24,0.84,0.59,0.48
1997-10-01,0.15,0.24,0.79,0.51,0.49
1997-11-01,0.15,0.23,0.68,0.52,0.49
1997-12-01,0.13,0.25,0.69,0.4,0.47
1998-01-01,0.04,0.29,0.66,0.35,0.42
1998-02-01,0.05,0.29,0.66,0.32,0.53
1998-03-01,0.1,0.31,0.68,0.31,0.51
1998-04-01,0.09,0.3,0.8,0.52,0.39
1998-05-01,0.18,0.29,0.69,0.53,0.49
1998-06-01,0.02,0.29,0.66,0.45,0.45
1998-07-01,0.06,0.3,0.72,0.29,0.37
1998-08-01,0.15,0.27,0.68,0.21,0.3
1998-09-01,0.13,0.26,0.78,0.15,0.37
1998-10-01,0.13,0.26,0.78,0.15,0.32
1998-11-01,0.17,0.27,0.87,0.12,0.29
1998-12-01,0.26,0.31,0.88,0.05,0.37
1999-01-01,0.3,0.28,0.99,0.08,0.33
1999-02-01,0.32,0.25,1.03,0.05,0.26
1999-03-01,0.27,0.32,1.01,0.26,0.24
1999-04-01,0.18,0.32,0.97,0.29,0.24
1999-05-01,0.08,0.3,0.89,0.25,0.2
1999-06-01,0.06,0.34,0.91,0.25,0.21
1999-07-01,-0.01,0.35,0.89,0.28,0.19
1999-08-01,-0.17,0.36,0.92,0.33,0.2
1999-09-01,-0.14,0.35,0.87,0.33,0.16
1999-10-01,-0.17,0.35,0.81,0.36,0.13
1999-11-01,-0.11,0.36,0.82,0.36,0.1
1999-12-01,-0.18,0.26,0.85,0.51,0.05
2000-01-01,-0.22,0.21,0.83,0.39,-0.01
2000-02-01,-0.24,0.22,0.76,0.49,-0.01
2000-03-01,-0.24,0.14,0.73,0.4,-0.06
2000-04-01,-0.21,0.25,0.54,0.29,0.05
2000-05-01,-0.19,0.25,0.6,0.31,0
2000-06-01,-0.09,0.23,0.62,0.48,-0.05
2000-07-01,0.09,0.2,0.62,0.48,-0.14
2000-08-01,0.04,0.2,0.6,0.29,-0.1
2000-09-01,0.08,0.23,0.64,0.35,0.01
2000-10-01,0.09,0.22,0.7,0.26,0.1
2000-11-01,0.11,0.23,0.72,0.33,0.09
2000-12-01,0.11,0.23,0.65,0.22,0.03
2001-01-01,0.14,0.22,0.59,0.2,0.09
2001-02-01,0.16,0.22,0.64,0.07,0.15
2001-03-01,0.34,0.25,0.66,-0.1,0.2
2001-04-01,0.39,0.11,0.86,-0.03,0.19
2001-05-01,0.55,0.1,0.87,0.1,0.27
2001-06-01,0.57,0.1,0.88,0,0.37
2001-07-01,0.31,0.1,0.84,0.05,0.42
2001-08-01,0.36,0.1,0.88,0.19,0.52
2001-09-01,0.32,0.09,0.9,-0.05,0.46
2001-10-01,0.34,0.1,0.81,-0.04,0.37
2001-11-01,0.26,0.09,0.74,-0.31,0.4
2001-12-01,0.3,0.09,0.7,-0.22,0.49
2002-01-01,0.35,0.1,0.77,-0.14,0.72
2002-02-01,0.33,0.08,0.77,-0.09,0.59
2002-03-01,0.23,0.05,0.75,0.05,0.62
2002-04-01,0.19,0.04,0.75,0.04,0.63
2002-05-01,-0.08,0.08,0.76,-0.06,0.54
2002-06-01,-0.19,0.07,0.77,-0.05,0.49
2002-07-01,-0.01,0.1,0.74,0.04,0.55
2002-08-01,0,0.08,0.67,0.06,0.47
2002-09-01,0.02,0.08,0.62,0.04,0.49
2002-10-01,0.02,0.07,0.64,0.11,0.7
2002-11-01,0.03,0.07,0.6,0.22,0.7
2002-12-01,-0.02,0.07,0.62,0.46,0.58
2003-01-01,-0.09,0.06,0.54,0.37,0.53
2003-02-01,-0.03,0.06,0.53,0.41,0.61
2003-03-01,-0.01,0.06,0.56,0.44,0.54
2003-04-01,0.04,0.1,0.53,0.47,0.4
2003-05-01,0.11,0.07,0.45,0.33,0.36
2003-06-01,0.12,0.08,0.4,0.26,0.29
2003-07-01,0.13,0.05,0.45,0.27,0.45
2003-08-01,0.14,0.09,0.43,0.28,0.43
2003-09-01,0.19,0.06,0.39,0.36,0.34
2003-10-01,0.2,0.07,0.42,0.35,0.25
2003-11-01,0.23,0.06,0.47,0.39,0.17
2003-12-01,0.26,0.07,0.45,0.34,0.16
2004-01-01,0.24,0.06,0.5,0.36,0.3
2004-02-01,0.2,0.06,0.52,0.36,0.23
2004-03-01,0.17,0.07,0.5,0.25,0.19
2004-04-01,0.12,0.08,0.48,0.16,0.27
2004-05-01,0.09,0.07,0.5,0.44,0.28
2004-06-01,0.08,0.07,0.55,0.45,0.37
2004-07-01,0.02,0.08,0.57,0.48,0.27
2004-08-01,0,0.07,0.59,0.49,0.21
2004-09-01,-0.04,0.08,0.62,0.4,0.14
2004-10-01,-0.04,0.08,0.71,0.41,0.2
2004-11-01,-0.03,0.08,0.76,0.49,0.24
2004-12-01,0,0.08,0.82,0.5,0.35
2005-01-01,0.04,0.09,0.84,0.39,0.35
2005-02-01,0.08,0.11,0.81,0.44,0.27
2005-03-01,0.14,0.08,0.86,0.53,0.34
2005-04-01,0.09,0.08,0.85,0.49,0.4
2005-05-01,0.12,0.08,0.9,0.42,0.39
2005-06-01,0.18,0.08,0.94,0.42,0.4
2005-07-01,0.14,0.08,0.99,0.53,0.53
2005-08-01,0.18,0.07,1.02,0.62,0.49
2005-09-01,0.16,0.05,1.06,0.72,0.49
2005-10-01,0.12,0.07,1.06,0.71,0.43
2005-11-01,0.14,0.09,1.06,0.52,0.43
2005-12-01,0.13,0.09,1.09,0.34,0.43
2006-01-01,0.09,0.08,1.14,0.59,0.25
2006-02-01,0.08,0.06,1.15,0.5,0.42
2006-03-01,-0.04,0.09,1.18,0.42,0.38
2006-04-01,0.02,0.09,1.29,0.52,0.32
2006-05-01,0.09,0.08,1.39,0.49,0.38
2006-06-01,0.14,0.11,1.45,0.47,0.43
2006-07-01,0.25,0.1,1.48,0.42,0.26
2006-08-01,0.27,0.12,1.51,0.32,0.38
2006-09-01,0.31,0.12,1.51,0.08,0.5
2006-10-01,0.37,0.11,1.51,-0.05,0.57
2006-11-01,0.39,0.09,1.57,0.09,0.61
2006-12-01,0.36,0.09,1.55,0.24,0.68
2007-01-01,0.3,0.12,1.53,0.08,0.63
2007-02-01,0.34,0.15,1.5,0.14,0.59
2007-03-01,0.44,0.15,1.42,0.18,0.76
2007-04-01,0.47,0.15,1.23,0.16,0.68
2007-05-01,0.4,0.14,1.06,0.29,0.62
2007-06-01,0.38,0.12,0.94,0.37,0.64
2007-07-01,0.23,0.12,0.87,0.3,0.5
2007-08-01,0.24,0.11,0.85,0.33,0.48
2007-09-01,0.31,0.11,0.77,0.32,0.45
2007-10-01,0.4,0.09,0.72,0.59,0.45
2007-11-01,0.41,0.1,0.66,0.65,0.41
2007-12-01,0.47,0.09,0.64,0.68,0.42
2008-01-01,0.52,0.08,0.67,0.75,0.36
2008-02-01,0.48,0.1,0.96,0.73,0.36
2008-03-01,0.47,0.08,0.99,0.83,0.23
2008-04-01,0.56,0.14,1.13,0.73,0.45
2008-05-01,0.67,0.16,1.2,0.75,0.52
2008-06-01,0.82,0.15,1.25,0.88,0.57
2008-07-01,1.04,0.14,1.31,1.01,0.7
2008-08-01,1.11,0.15,1.49,0.95,0.71
2008-09-01,0.97,0.14,1.95,0.94,0.77
2008-10-01,0.87,0.15,1.97,0.53,0.64
2008-11-01,0.92,0.13,1.94,0.17,0.68
2008-12-01,0.91,0.14,1.86,0.05,0.06
2009-01-01,0.89,0.18,1.75,-0.2,0.32
2009-02-01,1.01,0.19,1.45,-0.14,0.56
2009-03-01,0.92,0.2,1.28,-0.22,0.63
2009-04-01,0.76,0.1,1,-0.08,0.51
2009-05-01,0.7,0.14,0.87,-0.09,0.53
2009-06-01,0.49,0.11,0.79,-0.12,0.46
2009-07-01,0.37,0.14,0.72,-0.16,0.57
2009-08-01,0.2,0.14,0.48,0.03,0.57
2009-09-01,0.14,0.14,0,0.18,0.54
2009-10-01,0.2,0.14,-0.13,0.46,0.57
2009-11-01,0.12,0.15,-0.19,0.86,0.55
2009-12-01,0.15,0.15,-0.24,1.05,1.04
2010-01-01,0.18,0.21,-0.25,1.3,1.11
2010-02-01,0.12,0.14,-0.35,1.26,0.94
2010-03-01,0.2,0.16,-0.25,1.35,0.98
2010-04-01,0.26,0.23,-0.27,1.33,1.12
2010-05-01,0.16,0.17,-0.19,1.24,1.07
2010-06-01,0.17,0.18,-0.16,1.11,1.09
2010-07-01,0.3,0.17,-0.14,1,0.93
2010-08-01,0.37,0.15,-0.1,0.97,0.98
2010-09-01,0.46,0.17,-0.04,0.68,1.1
2010-10-01,0.4,0.2,0.04,0.73,1.14
2010-11-01,0.49,0.21,0.1,0.65,1.19
2010-12-01,0.54,0.19,0.3,0.85,1.19
2011-01-01,0.55,0.23,0.4,1,1.19
2011-02-01,0.55,0.2,0.52,1.03,1.38
2011-03-01,0.4,0.2,0.6,1.03,1.27
2011-04-01,0.38,0.31,0.69,1.21,1.22
2011-05-01,0.52,0.34,0.68,1.02,1.26
2011-06-01,0.61,0.33,0.7,1.01,0.99
2011-07-01,0.56,0.36,0.73,0.99,1.17
2011-08-01,0.56,0.34,0.79,0.94,1.26
2011-09-01,0.57,0.35,1.17,1.13,1.24
2011-10-01,0.45,0.32,1.22,0.98,1.33
2011-11-01,0.37,0.34,1.23,0.91,1.27
2011-12-01,0.36,0.31,1.13,0.72,1.16
2012-01-01,0.33,0.21,1.08,0.51,1.03
2012-02-01,0.34,0.28,1.02,0.48,0.96
2012-03-01,0.42,0.26,0.94,0.43,1.02
2012-04-01,0.39,0.18,0.95,0.24,0.99
2012-05-01,0.3,0.15,0.94,0.23,0.91
2012-06-01,0.21,0.16,0.93,0.13,0.85
2012-07-01,0.19,0.16,0.94,0.19,0.88
2012-08-01,0.2,0.19,0.9,0.24,0.77
2012-09-01,0.18,0.2,0.55,0.34,0.82
2012-10-01,0.3,0.21,0.49,0.4,1.03
2012-11-01,0.35,0.18,0.52,0.34,1.03
2012-12-01,0.33,0.2,0.72,0.15,1.03
2013-01-01,0.37,0.29,0.67,0.16,0.94
2013-02-01,0.33,0.24,0.76,0.22,0.93
2013-03-01,0.33,0.22,0.77,0.2,1
2013-04-01,0.4,0.2,0.74,-0.03,0.88
2013-05-01,0.37,0.22,0.74,0.13,0.96
2013-06-01,0.34,0.23,0.75,0.21,1.06
2013-07-01,0.34,0.23,0.75,0.19,0.96
2013-08-01,0.36,0.21,0.72,0.15,0.96
2013-09-01,0.37,0.19,0.69,0.13,0.96
2013-10-01,0.34,0.19,0.69,-0.04,0.8
2013-11-01,0.24,0.21,0.62,0.02,0.82
2013-12-01,0.16,0.2,0.65,0.06,0.81
2014-01-01,0.17,0.16,0.65,0.06,0.74
2014-02-01,0.16,0.15,0.59,-0.05,0.79
2014-03-01,0.15,0.17,0.57,-0.13,0.76
2014-04-01,0.05,0.13,0.58,0.19,0.73
2014-05-01,-0.06,0.16,0.6,0.05,0.7
2014-06-01,0,0.18,0.61,0.11,0.89
2014-07-01,-0.04,0.13,0.62,0.16,0.69
2014-08-01,-0.1,0.17,0.64,0.15,0.69
2014-09-01,-0.12,0.17,0.64,0.01,0.59
2014-10-01,-0.13,0.19,0.65,0.06,0.58
2014-11-01,-0.15,0.14,0.65,-0.03,0.46
2014-12-01,-0.15,0.18,0.4,-0.17,0.49
2015-01-01,-0.23,0.11,0.43,-0.35,0.57
2015-02-01,-0.29,0.13,0.43,-0.33,0.42
2015-03-01,-0.26,0.12,0.41,-0.23,0.3
2015-04-01,-0.25,0.1,0.39,-0.33,0.36
2015-05-01,-0.16,0.07,0.38,-0.18,0.32
2015-06-01,-0.19,0.08,0.39,-0.22,0.27
2015-07-01,-0.24,0.07,0.37,-0.23,0.49
2015-08-01,-0.21,0.07,0.36,-0.31,0.45
2015-09-01,-0.2,0.04,0.34,-0.33,0.38
2015-10-01,-0.24,0.01,0.34,-0.33,0.45
2015-11-01,-0.21,0.05,0.37,-0.26,0.49
2015-12-01,-0.26,0.01,0.38,-0.02,0.4
2016-01-01,-0.23,0.04,0.4,-0.06,0.47
2016-02-01,-0.2,0.04,0.4,-0.11,0.49
2016-03-01,-0.24,0.03,0.43,-0.01,0.54
2016-04-01,-0.21,0.05,0.45,-0.16,0.57
2016-05-01,-0.24,0.04,0.47,-0.12,0.57
2016-06-01,-0.25,0.02,0.48,-0.02,0.6
2016-07-01,-0.22,0.06,0.48,0.02,0.56
2016-08-01,-0.18,0.05,0.48,0.1,0.5
2016-09-01,-0.2,0.06,0.52,0.15,0.73
2016-10-01,-0.2,0.07,0.56,0.29,0.54
2016-11-01,-0.18,0.06,0.54,0.33,0.71
2016-12-01,-0.09,0.08,0.57,0.46,0.75
2017-01-01,-0.04,0.08,0.58,0.65,0.66
2017-02-01,0.02,0.1,0.59,0.8,0.83
2017-03-01,0.1,0.16,0.6,0.54,0.92
2017-04-01,0.13,0.15,0.64,0.76,0.96
2017-05-01,0.17,0.16,0.66,0.55,1.19
2017-06-01,0.19,0.17,0.63,0.43,1.13
2017-07-01,0.21,0.17,0.64,0.38,1.15
2017-08-01,0.18,0.15,0.64,0.4,1.38
2017-09-01,0.25,0.14,0.63,0.5,1.28
2017-10-01,0.32,0.14,0.59,0.47,1.24
2017-11-01,0.33,0.15,0.58,0.52,1.24
2017-12-01,0.33,0.18,0.54,0.47,1.2
2018-01-01,0.3,0.18,0.52,0.42,1.28
2018-02-01,0.24,0.19,0.5,0.35,1.17
2018-03-01,0.25,0.12,0.5,0.37,1.03
2018-04-01,0.22,0.13,0.52,0.3,1.05
2018-05-01,0.19,0.13,0.47,0.58,0.89
2018-06-01,0.16,0.13,0.53,0.67,0.76
2018-07-01,0.19,0.12,0.55,0.71,0.72
2018-08-01,0.19,0.13,0.54,0.75,0.78
2018-09-01,0.12,0.13,0.58,0.68,0.7
2018-10-01,0.07,0.13,0.62,0.66,0.74
2018-11-01,0.04,0.19,0.61,0.59,0.72
2018-12-01,0.06,0.14,0.62,0.41,0.77
2019-01-01,0.07,0.14,0.43,0.39,0.74
2019-02-01,0.1,0.17,0.43,0.37,0.73
2019-03-01,0.07,0.17,0.43,0.4,0.76
2019-04-01,0.06,0.13,0.68,0.56,0.58
2019-05-01,0.09,0.11,0.68,0.33,0.73
2019-06-01,0.13,0.12,0.62,0.28,0.77
2019-07-01,0.12,0.12,0.58,0.17,0.99
2019-08-01,0.15,0.1,0.56,0.16,0.72
2019-09-01,0.14,0.09,0.52,0.07,0.86
2019-10-01,0.11,0.11,0.34,0.09,0.83
2019-11-01,0.17,0.06,0.36,0.11,0.8
2019-12-01,0.14,0.05,0.36,0.08,0.72
2020-01-01,0.12,0.05,0.55,0.22,0.82
2020-02-01,0.1,0.02,0.52,0.23,0.83
2020-03-01,0.11,0.04,0.51,0.16,0.72
2020-04-01,0.12,0.08,0.16,-0.11,0.67
2020-05-01,0.15,0.08,0.16,-0.2,0.48
2020-06-01,0.1,0.07,0.17,-0.18,0.64
2020-07-01,0.07,0.08,0.19,-0.08,0.87
2020-08-01,0.03,0.06,0.2,-0.1,0.3
2020-09-01,0,0.07,0.19,0.12,0.36
2020-10-01,0.05,0.06,0.16,0.16,0.45
2020-11-01,-0.03,0.06,0.15,0.12,0.27
2020-12-01,-0.11,0.11,0.17,0.23,0.41
2021-01-01,-0.05,0.11,0.19,0.27,0.41
2021-02-01,-0.04,0.1,0.24,0.3,0.14
2021-03-01,-0.11,0.08,0.24,0.44,0.3
2021-04-01,-0.03,0.08,0.57,0.56,0.45
2021-05-01,-0.09,0.06,0.6,0.72,0.83
2021-06-01,-0.03,0.09,0.63,0.8,0.96
2021-07-01,-0.04,0.06,0.63,0.85,0.58
2021-08-01,0.04,0.09,0.65,0.87,1.37
2021-09-01,0.08,0.1,0.69,0.91,1.15
2021-10-01,0.12,0.07,1.23,1.08,1.33
2021-11-01,0.23,0.17,1.28,1.34,1.56
2021-12-01,0.37,0.14,1.31,1.29,1.71
2022-01-01,0.39,0.12,1.37,1.24,1.79
2022-02-01,0.46,0.13,1.39,1.26,2.24
2022-03-01,0.53,0.18,1.49,1.47,2.55
2022-04-01,0.61,0.17,2.76,1.47,2.78
